player_name,total_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,gir,prox_fw,accuracy,distance
"Thomas, Justin",2.0,0.31700000000000006,0.1295,0.5875,-0.286,0.43100000000000005,0.5833349999999999,40.192800000000005,0.64286,298.15
"Bridgeman, Jacob",2.0,-0.716,0.8195,1.0370000000000001,0.10649999999999998,1.963,0.805555,51.555899999999994,0.7857149999999999,304.4
"Straka, Sepp",2.0,-0.47450000000000003,0.28750000000000003,0.9035,0.531,1.722,0.63889,34.9815,0.7857149999999999,302.2
"Taylor, Nick",2.0,0.09649999999999997,0.5609999999999999,1.292,0.298,2.1505,0.694445,40.1309,0.85714,288.7
"Reitan, Kristoffer",2.0,2.7525,1.0274999999999999,-0.7875,0.755,0.9950000000000001,0.6666700000000001,41.5294,0.607145,312.4
"Im, Sungjae",3.0,1.423,1.268,-2.489,1.045,-0.1755,0.6111150000000001,55.643,0.85714,307.05
"Kim, Si Woo",4.0,-0.8595,-0.13999999999999999,0.4745,0.273,0.607,0.61111,36.11005,0.6785749999999999,300.85
"Rai, Aaron",5.0,-0.6095,0.33649999999999997,0.69,0.8305,1.8565,0.694445,51.3842,0.92857,291.35
"Conners, Corey",6.0,-0.722,1.3860000000000001,0.7295,-1.646,0.469,0.63889,29.4133,0.75,291.0
"Penge, Marco",6.0,1.2834999999999999,0.6799999999999999,-1.6035,0.8875,-0.03649999999999998,0.5,40.0991,0.57143,321.45
"Kitayama, Kurt",7.0,1.2185,-3.802,2.122,0.209,-1.4705,0.583335,36.455799999999996,0.64286,308.75
"Garcia, Sergio",8.0,-0.314,1.4135,-0.7344999999999999,-0.118,0.5615,0.63889,41.938649999999996,0.6785749999999999,294.25
"Hojgaard, Rasmus",10.0,0.877,-0.663,-0.03200000000000003,-0.43500000000000005,-1.1300000000000001,0.72222,40.299549999999996,0.5,314.6
"Schwartzel, Charl",12.0,0.34099999999999997,0.45200000000000007,0.42150000000000004,-1.4669999999999999,-0.5935,0.5833349999999999,41.59735,0.607145,292.05
"Watson, Bubba",5.0,-0.917,-0.6970000000000001,0.357,0.505,0.1645,0.63889,37.4452,0.642855,305.15
